route_id,agency_id,route_short_name,route_long_name,route_desc,route_type
2300027,STM-MVD,"100","PZA.ESPAÑA - V.FARRE", ,3
2600275,STM-MVD,"102","PLAZA INDEPENDENCIA - GRUTA DE LOURDES", ,3
2601174,STM-MVD,"102","ADUANA - GRUTA DE LOURDES (NOC)", ,3
2600277,STM-MVD,"102","PLAZA ESPAÑA - GRUTA DE LOURDES.", ,3
2701164,STM-MVD,"103","PLAZA ESPAÑA LOS AROMOS (POR BR ARTIGAS)", ,3
2700039,STM-MVD,"103","PZA. ESPAÑA - LOS AROMOS", ,3
2701006,STM-MVD,"103","PLAZA INDEPENDENCIA - PUNTA  DE RIELES", ,3
2701000,STM-MVD,"103","PLAZA ESPANA - BARRIO EL MONARCA", ,3
2701175,STM-MVD,"103","ADUANA - LOS AROMOS(NOC)", ,3
2801176,STM-MVD,"104","ADUANA - PQUE ROOSEVELT (NOC)", ,3
2801177,STM-MVD,"104","ADUANA - RBLA COSTANERA (NOC)", ,3
2800044,STM-MVD,"104","PZA. INDEPENDENCIA - PQUE. ROOSEVELT", ,3
2800762,STM-MVD,"104","PZA. INDEPENDENCIA - RBLA COSTANERA", ,3
2900045,STM-MVD,"105","PLAZA INDEPENDENCIA - PQUE. ROOSEVELT", ,3
2900860,STM-MVD,"105","PLAZA ESPAÑA - PARQUE ROOSEVELT", ,3
2901178,STM-MVD,"105","ADUANA - PQUE ROOSEVELT", ,3
3001179,STM-MVD,"106","ADUANA - HIPODROMO", ,3
3101185,STM-MVD,"109","PZA INDEPENDENCIA --- PSO CARRASCO", ,3
3102302,STM-MVD,"109","PLAZA ESPAÑA - BARRIO OBRERO (RACINE)", ,3
3100286,STM-MVD,"109","PLAZA ESPAÑA - PARQUE ROOSEVELT (NOC_2)", ,3
3100053,STM-MVD,"109","PZA INDEPENDENCIA - PARQUE ROOSVELT", ,3
3101186,STM-MVD,"109","PLAZA ESPAÑA - PASO CARRASCO", ,3
3201106,STM-MVD,"110","PLAZA ESPAÑA  - MANGA (ESPADAÑA)", ,3
3200057,STM-MVD,"110","PZA.ESPAÑA - P. MACADAM", ,3
3300991,STM-MVD,"111","TRES CRUCES -- MALVIN", ,3
3301059,STM-MVD,"111","PLAZA ESPAÑA - MALVIN", ,3
3302324,STM-MVD,"111","MALVÍN - TRES CRUCES (LIC. 31)", ,3
3302243,STM-MVD,"111","ADUANA -- MALVIN (NOC)", ,3
3401189,STM-MVD,"112","PORTONES - LUIS ALBERTO DE HERRERA (PTA GORDA)", ,3
3401181,STM-MVD,"112","ADUANA -PUNTA GORDA (NOC)", ,3
3402279,STM-MVD,"112","PORTONES - GARIBALDI", ,3
3400981,STM-MVD,"112","INTERCAMBIADOR BELLONI - PUNTA GORDA", ,3
3400063,STM-MVD,"112","PLAZA ESPAÑA - PUNTA GORDA", ,3
3500933,STM-MVD,"113","PLAZA INDEPENDENCIA - MALVIN", ,3
3500064,STM-MVD,"113","PLAZA ESPAÑA- MALVIN", ,3
3500961,STM-MVD,"113","TRES CRUCES - MALVIN", ,3
3702326,STM-MVD,"115","VISTA LINDA - TRES CRUCES (POR UTU)", ,3
3702213,STM-MVD,"115","VISTA LINDA --- TRES CRUCES", ,3
3802313,STM-MVD,"116","POCITOS - URUGUAY Y FLORIDA", ,3
3800069,STM-MVD,"116","CIUDAD VIEJA - POCITOS", ,3
3802331,STM-MVD,"116","POCITOS - CIUDAD VIEJA-TEATRO SOLIS", ,3
3900719,STM-MVD,"117","CIUDAD VIEJA - PUNTA CARRETAS", ,3
3902332,STM-MVD,"117","PUNTA CARRETAS-CIUDAD VIEJA /TEATRO SOLIS", ,3
3900072,STM-MVD,"117","PLAZA INDEPENDENCIA - PUNTA CARRETAS", ,3
4000952,STM-MVD,"121","PTA. CARRETAS - C. VIEJA /POR COLONIA", ,3
4000988,STM-MVD,"121","PZA INDEPENDENCIA / POCITOS-PUNTA CARRET", ,3
4002333,STM-MVD,"121","PTA CARRETAS - CIUDAD VIEJA/TEATRO SOLIS", ,3
4100079,STM-MVD,"124","CIUDAD VIEJA - STA.CATALINA", ,3
4100702,STM-MVD,"124","CIUDAD VIEJA - STA. CATALINA-NOCT", ,3
4102347,STM-MVD,"124","SANTA CATALINA - CIUDAD VIEJA/TEATRO SOLIS", ,3
4102301,STM-MVD,"124","CIUDADELA - SANTA CATALINA", ,3
50402351,STM-MVD,"124 SD","SANTA CATALINA - TEATRO SOLIS", ,3
50401123,STM-MVD,"124 SD","CIUDAD VIEJA - STA CATALINA", ,3
4300083,STM-MVD,"125","CIUDAD VIEJA -   DIQUE NACIONAL", ,3
4302267,STM-MVD,"125","CIUDADELA -- PLAYA DEL CERRO_1", ,3
4302348,STM-MVD,"125","DIQUE NACIONAL - TEATRO SOLIS", ,3
4301091,STM-MVD,"125","PLAYA DEL CERRO - PASO MOLINO", ,3
4501148,STM-MVD,"127","ADUANA - RUTA 1 KM 26", ,3
4502271,STM-MVD,"127","CIUDADELA -- RUTA 1/KM 26 (POR PENAL)", ,3
4501093,STM-MVD,"127","DELTA DEL TIGRE - PASO MOLINO (PENAL)", ,3
4501094,STM-MVD,"127","RUTA 1 KM 26 - PASO MOLINO", ,3
4501092,STM-MVD,"127","DELTA DEL TIGRE - PASO MOLINO", ,3
4502269,STM-MVD,"127","CIUDADELA -- DELTA DEL TIGRE (POR PENAL)", ,3
4501143,STM-MVD,"127","ADUANA - DELTA DEL TIGRE (NOC.)", ,3
4502270,STM-MVD,"127","CIUDADELA -- RUTA 1/KM 26", ,3
